borehole,chainage,from,to,soil
BH-181,100,0,1.5,Fill Material
BH-181,100,1.5,6,Clayey Silt (CL-CI)
BH-181,100,6,12,Silty Sand (SM)
BH-181,100,12,13,Clayey Silt (CL-CI)
BH-181,100,13,17,Silty Sand (SM)
BH-181,100,17,21,Clayey Silt (CL-CI)
BH-181,100,21,23,Silty Gravel (GM)
BH-181,100,23,25,Silty Gravel (GM)
BH-181,100,25,33,Silty Sand (SM)
BH-181,100,33,40.5,Silty Sand (SM)
BH-182,200,0,0.5,Fill Material
BH-182,200,0.5,3,Clayey Silt (CL-CI)
BH-182,200,3,13,Silty Sand (SM)
BH-182,200,13,17,Clayey Silt (CL-CI)
BH-182,200,17,20,Silty Sand (SM)
BH-182,200,20,27,Clayey Silt (CL-CI)
BH-182,200,27,29,Silty Sand (SM)
BH-182,200,29,33,Sand (SP)
BH-182,200,33,36,Silty Sand (SM)
BH-182,200,36,40.5,Silty Sand (SM)
BH-183,300,0,0.5,Fill Material
BH-183,300,0.5,3.5,Clayey Silt (CL)
BH-183,300,3.5,5,Clayey Silt (CL)
BH-183,300,5,11,Silty Sand (SM)
BH-183,300,11,17,Silty Sand (SM)
BH-183,300,17,24,Clayey Silt (CL)
BH-183,300,24,27,Clayey Silt (CL)
BH-183,300,27,33,Silty Sand (SM)
BH-183,300,33,35,Clayey Silt (CL)
BH-183,300,35,40.5,Silty Sand (SM)
BH-184,400,0,0.95,Fill Material
BH-184,400,0.95,3,Clayey Silt (CL-CI)
BH-184,400,3,9,Silty Sand (SM)
BH-184,400,9,14,Silty Sand (SM)
BH-184,400,14,15,Clayey Silt (CL-CI)
BH-184,400,15,21,Silty Sand (SM)
BH-184,400,21,26,Clayey Silt (CL-CI)
BH-184,400,26,30,Silty Sand (SM)
BH-184,400,30,40.5,Silty Sand (SM)
